InMichelin	Food	Decor	Service	Price
0	19	20	19	50
0	17	17	16	43
0	23	17	21	35
1	19	23	16	52
0	23	12	19	24
0	18	17	17	36
1	24	21	22	51
1	23	22	21	61
1	27	27	27	179
0	20	17	19	42
0	25	26	27	71
1	23	20	20	50
1	23	27	23	82
0	27	25	27	95
1	23	23	20	51
0	22	19	22	40
1	24	25	24	64
0	17	24	17	52
0	20	16	21	38
1	21	18	20	39
0	19	16	17	42
1	21	17	19	50
0	17	14	17	41
0	20	17	19	39
1	28	26	27	87
1	20	22	19	48
1	21	23	21	53
0	17	19	17	41
1	24	22	24	66
0	21	16	15	24
0	18	12	18	39
0	18	17	19	40
0	21	18	19	48
0	16	15	16	40
1	27	23	26	75
0	22	26	23	66
0	23	23	17	44
1	25	22	23	78
0	22	25	23	71
0	22	17	18	33
1	24	23	23	52
0	20	20	16	34
1	27	27	27	91
1	21	19	20	45
0	20	17	19	45
0	21	21	21	49
0	18	14	16	28
0	20	13	21	41
1	20	19	20	49
0	19	15	18	33
0	20	14	21	36
0	20	16	21	36
0	21	21	17	34
1	28	28	28	108
0	20	20	17	37
1	25	22	23	60
0	20	16	20	43
1	20	23	20	51
0	21	18	15	34
0	20	19	16	32
1	21	26	21	58
1	21	23	22	66
0	20	19	15	28
0	19	13	16	29
0	19	16	20	42
0	18	17	15	37
1	25	20	23	65
1	23	21	21	47
1	19	15	17	42
1	23	22	19	59
0	21	20	17	48
0	24	13	22	25
1	25	21	23	72
0	18	17	18	40
1	22	20	23	50
1	23	15	20	41
1	27	26	27	95
1	20	20	18	51
1	25	23	23	65
1	21	15	19	45
0	20	20	17	35
0	23	19	23	46
1	21	22	18	50
1	22	23	20	60
1	24	20	23	43
0	20	15	23	45
0	17	15	13	28
0	17	17	17	34
0	26	13	14	13
0	18	14	16	28
0	20	16	20	48
1	20	20	18	57
1	27	27	27	88
0	22	15	19	39
1	19	19	20	47
0	18	14	18	45
0	21	17	22	45
0	20	15	21	43
0	19	17	20	45
1	23	21	23	47
1	28	27	28	100
1	20	15	15	50
0	20	19	21	51
0	19	15	15	50
1	21	23	19	50
0	20	17	14	22
1	25	19	23	50
0	21	18	19	40
0	20	19	19	44
0	20	14	16	50
0	17	18	14	30
1	25	21	25	72
0	18	15	19	46
0	21	20	21	53
0	20	16	20	41
0	19	17	16	36
1	23	15	21	40
0	21	20	18	37
1	21	17	16	42
1	19	17	17	41
0	22	17	18	39
0	19	16	18	43
1	23	24	24	66
1	20	19	19	48
1	22	22	19	53
0	18	18	17	41
1	25	26	22	70
0	19	14	17	34
0	20	19	18	43
1	26	20	24	68
0	20	17	20	41
1	20	19	18	45
1	18	17	17	42
1	18	21	17	53
1	19	17	18	38
0	18	18	16	39
1	21	18	20	48
1	21	20	20	33
0	20	13	17	39
1	21	21	17	43
1	24	21	19	51
1	28	27	28	201
0	15	16	15	38
1	25	24	24	72
1	27	24	25	79
0	23	13	17	27
0	17	17	16	34
0	21	21	20	52
1	21	19	19	52
0	22	18	21	38
1	23	19	20	53
1	22	19	21	55
0	19	19	17	45
1	21	26	19	55
0	19	15	18	38
0	18	16	17	44
0	18	16	16	40
0	19	17	19	43
0	22	14	16	27
0	23	25	21	62
1	25	21	24	65
1	25	22	22	65
0	20	20	19	40
1	23	24	21	60
