id	age	employees	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage
9313	47	140	13874	19770	6545	752	.056724809	.054202106	.03803743	.12090951	2.1315103
9330	39	34	7630	5646	1860	250	.024246396	.0327654	.044279136	.057028361	2.3520346
7666	155	70	61367	38985	6602	1845	.016344288	.030065019	.047325894	.039280958	2.4033446
7669	30	42	5417	7019	1260	128	-.0079379734	.023629315	.018236216	-.071428575	8.9983387
9321	42	26	2632	1973	1047	92	-.013677811	.034954406	.0466295	-.10465116	7.6511626
7282	18	11	1415	3087	1146	511	.34770319	.36113074	.16553289	1.0292886	2.9602511
7657	16	35	5519	6608	1887	160	-.0072476896	.028990759	.024213076	-.073937155	10.201479
9370	25	41	2571	4456	1820	221	.088292494	.085958771	.049596049	.19636679	2.2240484
8588	31	20	1753	2336	763	68	.023958927	.038790643	.02910959	.078504674	3.2766354
7281	18	16	1346	1981	682	74	.023774145	.054977711	.037354872	.1509434	6.3490567
9414	12	14	3031	2806	1120	314	.090399206	.10359617	.11190306	.4551495	5.0348835
7287	11	25	1220	1859	693	64	-.0098360656	.052459016	.03442711	-.44444445	45.185184
7662	13	42	2961	7309	1520	429	.14319487	.14488348	.058694761	.74516696	5.2038665
6919	77	20	1643	1214	407	9	-.023128424	.0054777847	.0074135088	-.070500925	3.0482376
7278	12	18	3391	3809	1292	563	.14803892	.16602772	.14780782	.41625208	2.8117745
9412	14	30	14309	20446	4006	2177	.15661472	.152142	.10647559	.31778219	2.0290697
8582	31	16	1271	1926	715	126	.085759245	.099134542	.065420561	.2691358	3.1382716
9325	40	26	3402	3134	1304	59	.010288066	.017342739	.018825782	.017866258	1.7366003
7654	18	25	18541	13353	2758	1218	.046761233	.065692246	.091215454	.085410304	1.8265196
9712	14	10	2305	1979	390	92	-.0013015184	.039913233	.046488125	-.022556391	17.330828
9322	42	50	22688	26533	4255	604	.01401622	.026622003	.022764105	.028932763	2.0642343
7645	28	17	2330	2364	648	42	-.0081545068	.01802575	.017766498	-.20879121	25.604395
6920	57	11	744	1516	393	25	.034946237	.033602152	.016490765	.088135593	2.5220339
7640	33	23	2110	3037	1076	150	.052606635	.07109005	.049390845	.19892474	3.7813621
7635	59	350	101898	130712	24975	6274	.048656501	.061571375	.047998652	.18793829	3.8625526
9351	38	60	6439	7784	3480	1113	.15483771	.17285293	.14298561	.37354815	2.412514
8595	16	20	5537	6050	1113	396	.025465053	.071518876	.065454543	.17691343	6.9473023
7289	8	18	3031	2887	944	160	.0075882548	.052787859	.055420853	.089147285	11.748062
7283	18	38	3157	3930	2072	148	.037377257	.046879951	.037659034	.078719147	2.1060708
6948	6	12	3490	3068	453	-143	-.083094552	-.040974211	-.046610169	-1.2236286	14.725739
7646	28	70	22747	19952	8346	5198	.24829648	.22851364	.26052526	.3949098	1.5904769
7651	20	27	11287	15212	2478	430	.013201028	.038096927	.028267158	.048266925	3.6563005
7285	46	36	9005	3117	1246	-100	-.044530816	-.011104941	-.032082129	-.16673596	3.7442827
8596	27	24	2851	4511	1252	366	.12556997	.12837601	.081135005	.23337679	1.8585398
6937	15	40	1476	2528	1161	-127	-.089430891	-.086043358	-.050237343	-.40615386	4.5415382
9409	15	500	86293	134359	34430	-392	-.0055740327	-.0045426628	-.0029175568	-.013216102	2.3710124
7086	7	14	1761	2614	762	129	.045428734	.073253833	.049349654	.85106385	18.734043
9348	32	63	8682	7730	3231	57	-.017622668	.0065653077	.007373868	-.061843168	3.5092967
6942	12	323	74514	51316	21833	2455	.020197546	.032946829	.04784083	.07706093	3.815361
9376	50	50	4363	4513	2321	45	-.0066468026	.010314004	.009971194	-.051785715	7.7910714
9306	74	29	3054	3204	1193	176	.030779306	.057629339	.054931335	.18146718	5.8957529
7644	26	12	1614	2226	552	119	.047707558	.073729865	.053459119	.26460481	5.546392
7665	6	19	1468	2833	596	103	.033378746	.070163488	.03635722	.84482759	25.310345
7664	42	330	53718	57143	13235	380	-.071037643	.0070739789	.0066499836	-.37834623	5.3259964
9349	30	29	3416	5039	1551	101	.025468385	.029566744	.02004366	.075982533	2.9834061
9714	10	45	2445	3616	1927	149	.039672803	.060940694	.041205753	.32550335	8.2046976
9316	45	93	25340	34266	6105	819	.018389897	.032320444	.023901243	.049962476	2.7168436
9420	10	20	3217	5941	1275	48	-.0074603669	.014920734	.0080794478	-.083916083	11.248252
9311	49	189	64214	102917	16806	7050	.11380696	.10978914	.0685018	.16808115	1.4768969
7286	29	29	2902	4188	957	89	-.0065472089	.030668505	.021251194	-.1091954	16.678162
6930	29	18	2736	2968	979	144	.033260234	.052631579	.048517521	.092857145	2.7918367
